bed rooms,baths,square feet,address,price
2,2,1260,"1310 N Cleaver Street , 2 Chicago, IL 60642",429555
2,1,1600,"2422 W 83rd Street Chicago, IL 60652",239900
3,2,912,"7115 S Dobson Avenue Chicago, IL 60619",265000
2,1,1302,"9858 S Sawyer Avenue Evergreen Park, IL 60805",254900
4,2,3000,"819 N Paulina Street Unit 1N Chicago, IL 60622",899900
3,1,1308,"11559 S Troy Drive Merrionette Park, IL 60803",224900
2,1,1000,"6565 N Harlem Avenue Unit 3N Chicago, IL 60631",230000
4,5,4000,"554 W Grant Place Chicago, IL 60614",1849000
2,2,1200,"2251 W Saint Paul Avenue Unit 2E Chicago, IL 60647",494000
2,2,705,"1927 N Honore Street Unit 1B Chicago, IL 60622",389900
2,2,1300,"6329 W Byron Street Chicago, IL 60634",350000
4,3,2818,"7559 S Michigan Avenue Chicago, IL 60619",349999
3,2,1400,"4857 N Harding Avenue Unit 1 Chicago, IL 60625",275000
2,2,1500,"7033 N Kedzie Avenue Unit 504 Chicago, IL 60645",179900
4,1,1586,"9218 S Phillips Avenue Chicago, IL 60617",159900
4,3,2800,"4946 S Drexel Boulevard , E Chicago, IL 60615",469900
4,3,2900,"6522 S Evans Avenue Chicago, IL 60637",605000
4,2,1300,"4608 S Marshfield Avenue Chicago, IL 60609",315000
3,2,1070,"2909 N Nordica Avenue Chicago, IL 60634",410000
4,2,1800,"1118 E 46th Street Unit 1 1 Chicago, IL 60653",320000
2,2,1102,"2020 N Lincoln Park West Unit 13M Chicago, IL 60614",449000
2,2,1400,"2020 N Lincoln Park West Unit 28KL Chicago, IL 60614",575000
5,4,2213,"7830 W Sunset Drive Elmwood Park, IL 60707",547000
3,2,1690,"2442 N Clybourn Avenue 5N Chicago, IL 60614",725000
